,Close,Train_Return,Date
2020-09-17,6076.314,-0.39418936,2020-09-17
2020-09-18,6064.115,-0.20076036,2020-09-18
2020-09-21,6023.803,-0.66476464,2020-09-21
2020-09-22,5848.11,-2.916652,2020-09-22
2020-09-23,5858.9575,0.18548965,2020-09-23
2020-09-24,5891.8027,0.5605936,2020-09-24
2020-09-25,5840.848,-0.86483955,2020-09-25
2020-09-28,5859.0537,0.31169653,2020-09-28
2020-09-29,5921.6953,1.0691404,2020-09-29
2020-09-30,5894.7466,-0.45508742,2020-09-30
2020-10-01,5877.548,-0.29176474,2020-10-01
2020-10-02,5884.2104,0.11335611,2020-10-02
2020-10-05,5900.599,0.27852058,2020-10-05
2020-10-06,5941.4697,0.69265366,2020-10-06
2020-10-07,5950.444,0.15103817,2020-10-07
2020-10-08,5951.319,0.014710426,2020-10-08
2020-10-09,5981.415,0.50570965,2020-10-09
2020-10-12,6015.6724,0.5727291,2020-10-12
2020-10-13,6005.557,-0.16815066,2020-10-13
2020-10-14,5981.918,-0.3936231,2020-10-14
2020-10-15,5947.7983,-0.5703807,2020-10-15
2020-10-16,5858.5024,-1.5013278,2020-10-16
2020-10-19,5924.197,1.1213541,2020-10-19
2020-10-20,5883.053,-0.6945014,2020-10-20
2020-10-21,5893.1216,0.17113686,2020-10-21
2020-10-22,5811.994,-1.3766468,2020-10-22
2020-10-23,5817.1567,0.08882284,2020-10-23
2020-10-26,5862.794,0.78452826,2020-10-26
2020-10-27,5815.808,-0.8014262,2020-10-27
2020-10-28,5773.22,-0.7322788,2020-10-28
2020-10-29,5650.822,-2.1201074,2020-10-29
2020-10-30,5638.0415,-0.22616386,2020-10-30
2020-11-02,5623.9224,-0.25042892,2020-11-02
2020-11-03,5689.747,1.1704445,2020-11-03
2020-11-04,5795.9565,1.8666863,2020-11-04
2020-11-05,5870.794,1.2912035,2020-11-05
2020-11-06,5897.7476,0.45911074,2020-11-06
2020-11-09,5910.269,0.21231174,2020-11-09
2020-11-10,6154.7173,4.13599,2020-11-10
2020-11-11,6246.425,1.4900327,2020-11-11
2020-11-12,6347.2427,1.6140103,2020-11-12
2020-11-13,6319.4595,-0.43771863,2020-11-13
2020-11-16,6276.189,-0.6847203,2020-11-16
2020-11-17,6374.4683,1.5659094,2020-11-17
2020-11-18,6341.0415,-0.5243838,2020-11-18
2020-11-19,6338.3115,-0.043052435,2020-11-19
